"","ENSG00000078900.14","ENSG00000132906.17","ENSG00000175793.11","ENSG00000130766.4","ENSG00000116717.11","ENSG00000120370.12","ENSG00000198625.12","ENSG00000115129.13","ENSG00000115107.19","ENSG00000064012.21","ENSG00000164054.15","ENSG00000175054.14","ENSG00000172667.10","ENSG00000163743.13","ENSG00000138764.14","ENSG00000164305.18","ENSG00000134057.14","ENSG00000113328.18","ENSG00000124762.13","ENSG00000112576.12","ENSG00000080546.13","ENSG00000112378.11","ENSG00000172115.8","ENSG00000146674.14","ENSG00000105810.9","ENSG00000106366.8","ENSG00000120889.12","ENSG00000104689.9","ENSG00000175305.17","ENSG00000048392.11","ENSG00000147889.17","ENSG00000130222.10","ENSG00000170312.15","ENSG00000042286.14","ENSG00000171862.10","ENSG00000026103.21","ENSG00000085117.11","ENSG00000134574.11","ENSG00000110092.3","ENSG00000149212.11","ENSG00000149311.18","ENSG00000149547.14","ENSG00000149554.12","ENSG00000118971.7","ENSG00000123374.10","ENSG00000135446.16","ENSG00000135679.22","ENSG00000120868.13","ENSG00000184990.12","ENSG00000137801.10","ENSG00000157456.7","ENSG00000103197.16","ENSG00000196470.11","ENSG00000141510.16","ENSG00000170836.11","ENSG00000141682.11","ENSG00000171791.12","ENSG00000099860.8","ENSG00000105173.13","ENSG00000105327.17","ENSG00000087088.19","ENSG00000171552.12","ENSG00000015475.18","ENSG00000183765.20","ENSG00000075218.18","tissue"
"GTEX-111CU-0326-SM-5GZXO",28,1021,38697,1427,8372,697,4263,1648,1812,2794,12178,2399,1636,1548,1427,1484,220,1622,22868,10030,975,2997,8809,1957,984,157017,9701,1117,56,2288,430,524,119,2894,5845,3980,11221,857,7829,1554,2104,5284,137,3546,2444,3916,4786,1065,1935,348811,105,4921,648,2012,1307,426,642,21042,77,454,3514,13164,1933,326,36,"lung"
"GTEX-111FC-1126-SM-5GZWU",510,1160,202,745,2470,889,5099,751,469,1956,5484,1454,1381,1157,3069,1086,154,2891,14809,6534,2775,3681,3214,3348,2502,32558,3028,343,47,2072,34,3300,187,915,6367,3228,9586,1141,6831,5709,4877,2894,153,3682,1478,1288,3267,1181,1567,26080,69,7083,1033,1014,1565,920,1619,19362,59,992,1433,3603,766,294,15,"lung"
"GTEX-111VG-0726-SM-5GIDC",1406,2102,1799,1162,18522,1355,6926,919,2057,2745,12879,1494,3118,1184,3033,1622,123,4805,55963,5224,3876,5739,7117,1032,2696,140671,10835,1122,78,2542,261,1187,159,1061,5603,10527,9017,1649,4886,5267,4335,4035,120,9672,8873,1690,4082,1779,2212,384819,113,7041,1210,905,1192,425,2352,46490,55,2277,2407,5894,1225,404,29,"lung"
"GTEX-111YS-0626-SM-5GZXV",120,1166,1078,1213,2541,449,4286,1509,829,2277,8463,1631,1478,1452,4110,1269,142,4592,12597,12138,3533,5143,3260,5318,1400,11534,4590,541,96,2970,32,1434,181,1177,11684,2854,8292,1081,8372,4408,3776,4971,108,2853,1837,2078,5461,1753,2246,96834,75,6256,971,1010,1738,161,1726,13286,66,593,2135,9153,982,169,38,"lung"
"GTEX-1122O-0126-SM-5GICA",13,844,2102,945,1657,604,3820,2268,826,3104,10157,1313,1174,1203,2416,1146,124,3174,5364,15369,2828,4803,2875,7242,1722,3721,3674,452,57,1815,72,1204,112,1510,8486,2284,8825,1736,7760,2665,3108,4716,108,3649,1436,2125,4044,1275,2731,17258,96,8418,800,1693,1346,82,951,6102,77,818,2653,8595,1100,166,54,"lung"
"GTEX-1128S-0726-SM-5N9D6",1022,1239,1202,1743,6275,555,5503,569,1649,2267,9598,1928,3952,941,2565,905,75,3332,27792,8558,3262,2165,3672,1382,1788,49407,8407,988,98,3555,283,1243,79,1111,9119,3380,9791,2088,2463,2699,5235,3530,75,4778,3278,1551,5447,1910,1390,152465,73,4431,708,953,1079,215,986,30491,39,972,2941,5550,1713,301,17,"lung"
"GTEX-117YW-0526-SM-5H11C",73,1329,1044,966,8533,803,5952,1552,568,2444,10063,1375,2509,986,3005,1268,125,3232,20932,4488,2752,1631,2380,3699,2664,12476,9032,671,98,2156,145,273,182,706,5302,7565,6335,2337,2610,8377,4097,2556,172,6205,5558,1381,2888,1389,1644,89324,182,5825,885,761,757,165,1773,11974,89,1236,2000,2732,1044,404,82,"lung"
"GTEX-117YX-1326-SM-5H125",39,914,1602,889,2012,714,3939,2257,1247,2459,8902,1720,1608,1621,3351,1655,275,3695,8465,10613,3309,5121,3829,4631,1855,10830,4960,656,68,2727,44,1296,206,1380,9007,2547,7872,1247,7629,2975,4410,5948,169,3175,1305,2350,5481,1552,2289,35626,123,5959,810,1814,1950,220,1513,7257,73,892,2396,9642,1217,262,104,"lung"
"GTEX-11DXX-0626-SM-5Q5AG",19,971,2104,1051,1143,804,3918,1993,918,2749,7304,1673,1559,1316,1496,972,100,2660,6351,8752,2554,3275,3509,11345,1490,3536,4412,426,42,1942,77,999,117,1776,7096,1531,8450,1267,8573,2537,3711,5756,104,3444,972,2352,4062,1052,2372,29442,71,6988,591,1610,1157,118,886,4851,51,335,2412,6438,998,144,16,"lung"
"GTEX-11DXZ-0726-SM-5N9C4",100,985,11893,1900,1534,926,4448,6360,3423,2271,8510,1666,2718,1313,2506,1343,2471,4785,13251,8304,2328,4151,3201,1933,2004,4674,7562,556,171,3303,67,1257,1964,1913,5325,2928,3720,3450,8281,4548,3788,4752,737,4384,2321,2590,8567,1234,2355,14839,1469,6968,724,2133,1064,245,672,5319,390,1019,5312,9292,1119,637,1059,"lung"
"GTEX-11DZ1-0426-SM-5H11A",32,601,2047,1896,4359,838,2988,1459,741,2601,8583,1474,3865,853,2892,870,99,5346,13645,7920,3830,4614,1727,7850,1591,28017,8239,506,68,3398,185,352,130,1256,8106,2569,5979,2862,4127,8475,4415,3327,166,4784,2436,2041,4454,1567,1574,52654,109,5162,603,927,961,85,1250,15235,118,617,2628,6405,1415,324,44,"lung"
"GTEX-11EI6-0826-SM-5985V",33,885,1058,966,2235,438,3841,1107,499,1550,8585,1061,2271,867,1987,923,35,2677,16857,6567,2093,2945,2067,2060,2420,17432,7227,644,76,1476,115,354,89,850,4793,2676,6038,2233,3166,3783,4569,2214,126,8041,3335,1147,2768,1096,1330,46603,78,5207,613,508,772,186,1530,7671,53,1457,2398,6580,813,305,30,"lung"
"GTEX-11EMC-0126-SM-5EGKV",25,586,4308,2012,10100,687,3384,1057,1647,1610,8831,1394,1924,807,2172,1159,129,3828,24269,10785,5110,3643,3248,754,1111,138740,11153,847,34,2950,502,744,164,1095,8158,2861,7011,1632,3719,2420,2200,4071,86,5093,3565,1650,4523,866,2067,257638,155,4120,665,788,686,425,827,27134,86,1149,2757,14693,1307,351,63,"lung"
